employee_id,first_name,last_name,email,phone_number,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,515.123.4567,AD_PRES,24000.0,,,90.0
101,N_ann,Kochhar,NKOCHHAR,515.123.4568,AD_VP,17000.0,,100.0,90.0
102,Lex,De Haan,LDEHANN,515.123.4569,AD_VP,17000.0,,100.0,90.0
103,Alexander,Hunold,AHUNOLD,590.423.4567,IT_PROG,9000.0,,102.0,60.0
104,Bruce,Ernst,BERNST,590.423.4568,IT_PROG,6000.0,,103.0,60.0
105,David,Austin,DAUSTIN,590.423.4569,IT_PROG,4800.0,,103.0,60.0
106,Valli,Pataballa,VPATABAL,590.423.4560,IT_PROG,4800.0,,103.0,60.0
107,Diana,Lorentz,DLORENTZ,590.423.5567,IT_PROG,4200.0,,103.0,60.0
108,Nancy,Greenberg,NGREENBE,515.124.4569,FI_MGR,12000.0,,101.0,100.0
109,Daniel,Faviet,DFAVIET,515.124.4169,FI_ACCOUNT,9000.0,,108.0,100.0
110,John,Chen,JCHEN,515.124.4269,FI_ACCOUNT,8200.0,,108.0,100.0
111,Ismael,Sciarra,ISCIARRA,515.124.4369,FI_ACCOUNT,7700.0,,108.0,100.0
112,Jose Manuel,Urman,JMURMAN,515.124.4469,FI_ACCOUNT,7800.0,,108.0,100.0
113,Luis,Popp,LPOPP,515.124.4567,FI_ACCOUNT,6900.0,,108.0,100.0
114,Den,Raphaely,DRAPHEAL,515.127.4561,PU_MAN,11000.0,,100.0,30.0
115,Alexander,Khoo,AKHOO,515.127.4562,PU_CLERK,3100.0,,114.0,30.0
116,Shelli,Baida,SBAIDA,515.127.4563,PU_CLERK,2900.0,,114.0,30.0
117,Sigal,Tobias,STOBIAS,515.127.4564,PU_CLERK,2800.0,,114.0,30.0
118,Guy,Himuro,GHIMURO,515.127.4565,PU_CLERK,2600.0,,114.0,30.0
119,Karen,Colmenares,KCOLMENA,515.127.4566,PU_CLERK,2500.0,,114.0,30.0
120,Matthew,Weiss,MWEISS,650.123.1234,ST_MAN,8000.0,,100.0,50.0
121,Adam,Fripp,AFRIPP,650.123.2234,ST_MAN,8200.0,,100.0,50.0
122,Payam,Kaufling,PKAUFLIN,650.123.3234,ST_MAN,7900.0,,100.0,50.0
123,Shanta,Vollman,SVOLLMAN,650.123.4234,ST_MAN,6500.0,,100.0,50.0
124,Kevin,Mourgos,KMOURGOS,650.123.5234,ST_MAN,5800.0,,100.0,50.0
125,Julia,Nayer,JNAYER,650.124.1214,ST_CLERK,3200.0,,120.0,50.0
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,ST_CLERK,2700.0,,120.0,50.0
127,James,Landry,JLANDRY,650.124.1334,ST_CLERK,2400.0,,120.0,50.0
128,Steven,Markle,SMARKLE,650.124.1434,ST_CLERK,2200.0,,120.0,50.0
129,Lauren,Bissette,LBISSETT,650.124.5234,ST_CLERK,3300.0,,121.0,50.0
130,Mozhe,Atkinson,MATKINSO,650.124.6234,ST_CLERK,2800.0,,121.0,50.0
131,James,Marlow,JAMRLOW,650.124.7234,ST_CLERK,2500.0,,121.0,50.0
132,TJ,Olson,TJOLSON,650.124.8234,ST_CLERK,2100.0,,121.0,50.0
133,Jason,Mallin,JMALLIN,650.127.1934,ST_CLERK,3300.0,,122.0,50.0
134,Michael,Rogers,MROGERS,650.127.1834,ST_CLERK,2900.0,,122.0,50.0
135,Ki,Gee,KGEE,650.127.1734,ST_CLERK,2400.0,,122.0,50.0
136,Hazel,Philtanker,HPHILTAN,650.127.1634,ST_CLERK,2200.0,,122.0,50.0
137,Renske,Ladwig,RLADWIG,650.121.1234,ST_CLERK,3600.0,,123.0,50.0
138,Stephen,Stiles,SSTILES,650.121.2034,ST_CLERK,3200.0,,123.0,50.0
139,John,Seo,JSEO,650.121.2019,ST_CLERK,2700.0,,123.0,50.0
140,Joshua,Patel,JPATEL,650.121.1834,ST_CLERK,2500.0,,123.0,50.0
141,Trenna,Rajs,TRAJS,650.121.8009,ST_CLERK,3500.0,,124.0,50.0
142,Curtis,Davies,CDAVIES,650.121.2994,ST_CLERK,3100.0,,124.0,50.0
143,Randall,Matos,RMATOS,650.121.2874,ST_CLERK,2600.0,,124.0,50.0
144,Peter,Vargas,PVARGAS,650.121.2004,ST_CLERK,2500.0,,124.0,50.0
145,John,Russell,JRUSSEL,011.44.1344.429268,SA_MAN,14000.0,0.4,100.0,80.0
146,Karen,Partners,KPARTNER,011.44.1344.467268,SA_MAN,13500.0,0.3,100.0,80.0
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,SA_MAN,12000.0,0.3,100.0,80.0
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,SA_MAN,11000.0,0.3,100.0,80.0
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,SA_MAN,10500.0,0.2,100.0,80.0
150,Peter,Tucker,PTUCKER,011.44.1344.129268,SA_REP,10000.0,0.3,145.0,80.0
151,David,Bernstein,DBERNSTE,011.44.1344.345268,SA_REP,9500.0,0.25,145.0,80.0
152,Peter,Hall,PHALL,011.44.1344.478968,SA_REP,9000.0,0.25,145.0,80.0
153,Christopher,Olsen,COLSEN,011.44.1344.498718,SA_REP,8000.0,0.2,145.0,80.0
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,SA_REP,7500.0,0.2,145.0,80.0
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,SA_REP,7000.0,0.15,145.0,80.0
156,Janette,King,JKING,011.44.1345.429268,SA_REP,10000.0,0.35,146.0,80.0
157,Patrick,Sully,PSULLY,011.44.1345.929268,SA_REP,9500.0,0.35,146.0,80.0
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,SA_REP,9000.0,0.35,146.0,80.0
159,Lindsey,Smith,LSMITH,011.44.1345.729268,SA_REP,8000.0,0.3,146.0,80.0
160,Louise,Doran,LDORAN,011.44.1345.629268,SA_REP,7500.0,0.3,146.0,80.0
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,SA_REP,7000.0,0.25,146.0,80.0
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,SA_REP,10500.0,0.25,147.0,80.0
163,Danielle,Greene,DGREENE,011.44.1346.229268,SA_REP,9500.0,0.15,147.0,80.0
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,SA_REP,7200.0,0.1,147.0,80.0
165,David,Lee,DLEE,011.44.1346.529268,SA_REP,6800.0,0.1,147.0,80.0
166,Sundar,Andre,SANDRE,011.44.1346.629268,SA_REP,6400.0,0.1,147.0,80.0
167,Amit,Banda,ABANDA,011.44.1346.729268,SA_REP,6200.0,0.1,147.0,80.0
168,Lisa,Ozer,LOZER,011.44.1343.929268,SA_REP,11500.0,0.25,148.0,80.0
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,SA_REP,10000.0,0.2,148.0,80.0
170,Tayler,Fox,TFOX,011.44.1343.729268,SA_REP,9600.0,0.2,148.0,80.0
171,William,Smith,WSMITH,011.44.1343.629268,SA_REP,7400.0,0.15,148.0,80.0
172,Elizabeth,Bates,EBATES,011.44.1343.529268,SA_REP,7300.0,0.15,148.0,80.0
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,SA_REP,6100.0,0.1,148.0,80.0
174,Ellen,Abel,EABEL,011.44.1644.429267,SA_REP,11000.0,0.3,149.0,80.0
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,SA_REP,8800.0,0.25,149.0,80.0
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,SA_REP,8600.0,0.2,149.0,80.0
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,SA_REP,8400.0,0.2,149.0,80.0
